mode,eve_rate,qber_mean,qber_stdev,accept_prob,mean_intercepts
random,0.0,0.0,0.0,1.0,0
random,0.1,0.02109375,0.02083170566558341,1.0,39.2375
random,0.2,0.04453125,0.03723047674201205,1.0,77.3875
random,0.3,0.076171875,0.044972797224926704,0.9625,114.125
random,0.4,0.1015625,0.056444974588088885,0.875,155.9125
random,0.5,0.121484375,0.055461872372913765,0.875,192.975
random,0.6,0.1546875,0.05906580678573687,0.625,233.125
random,0.7,0.1828125,0.06575507941406504,0.4,268.0125
random,0.8,0.198046875,0.06365030309420666,0.3625,307.0125
random,0.9,0.2328125,0.07556751430839842,0.2,346.1375
random,1.0,0.256640625,0.07423005670454103,0.0875,384
biased,0.0,0.0,0.0,1.0,0
biased,0.1,0.029296875,0.02766275965055502,1.0,39.1625
biased,0.2,0.046875,0.03597145135381668,0.9875,76.9375
biased,0.3,0.076953125,0.044454086105603106,1.0,114.575
biased,0.4,0.09765625,0.05812310984829958,0.9,152.4875
biased,0.5,0.124609375,0.058566399866812495,0.7875,190.55
biased,0.6,0.155859375,0.0782021103830285,0.6375,231.3125
biased,0.7,0.18359375,0.07149611413173096,0.475,268.7
biased,0.8,0.194921875,0.0627424496671462,0.4,307.85
biased,0.9,0.229296875,0.06934116397555189,0.2375,345.5
biased,1.0,0.239453125,0.06791821936332235,0.2,384
